Name,Acronym,Email,Bounce Check,University,RAG,First Email,From,Reply,Interested?,,,,,,,,,,,,,,,,,
85 Broads Club,,85broadscambridgeclub@gmail.com,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
9th Art Magazine,,9th.art.cambridge@gmail.com,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
CUSU Access Campaign,,access@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Cambridge Advertising and Marketing Society,,adsoc@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
African Caribbean Society,CUACS,africancaribbean@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Afrinspire Cambridge Student Society,ACSS,afrinspirecss@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Archaeology Graduate Society,AGS,ags@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
AIESEC Cambridge,,aiesec@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Arab Innovation Network,AIN,ain@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Alternative Welcome,,altwelcome-general@srcf.net,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Amoral Sciences Club,ASC,amoralsciences@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Ancient Literature Society,ALS,ancientlit@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Anti-Slavery International,,antislavery@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Apotheosis Cambridge,ATCC,apotheosis@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Arab Society,CUArabSoc,arab@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Archaeological Review from Cambridge,ARC,arc@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Mathematical Society,The Archimedeans,archim-committee@srcf.ucam.org,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Australian Rules Football Club,CUARFC,arfc@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Armenian Society,CUARMS,armeniansoc@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Aid & Save Animal Plant,ASAP,asapsoc@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
African Society of Cambridge University,ASCU,ascu@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Anglo-Saxon Norse & Celtic Society,ASNaC,asnac@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Cambridge Assassins' Guild,,assassins-umpire@srcf.ucam.org,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Athletic Club,CUAC,athleticclub@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Automobile Club,CUAC,automobile@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Full Blue Racing,,autoracing@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Cockerel Badminton Club,CUcBC,badminton@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Cambridge University Baha'i Society,CUBS,bahai@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Ballet Club,CUBC,ballet@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Fitz Barbershop,,barbershop@fitz.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Baroque Ensemble,CUBE,baroque@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Basketball Club,CUBbC,basketball@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Emma Big Band,ECMS,bigband@emmamusic.co.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Biological Society,BioSoc,biological@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
CUSU Black Students' Campaign,,blackstudents@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Israel-Palestine Forum,IPF,bpme@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Brass Band Society,CUBBS,brass@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Bridge Club,,bridge@cusu.cam.ac.uk,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
Bridge Se,CUBS,bridgese.acappella@gmail.com,P,Cambridge,YES,27.09.16,John Emmanuel,,,,,,,,,,,,,,,,,,,
